CUTCSA,7366,G6,1,181,TERMINAL COL├ôN,187,POROR├ô
CUTCSA,3341,G4,1,181,TERMINAL COL├ôN,50,AVIACI├ôN CIVIL
CUTCSA,595,113,1,1,PLAZA ESPA├æA,19,PLAYA MALV├ìN
CUTCSA,1046,156,1,11,ADUANA,6,HIP├ôDROMO
COME,3019,538,1,11,ADUANA,189,CEMENTERIO DEL BUCEO
CUTCSA,3393,174,1,28,PUNTA CARRETAS,46,COMPLEJO AM├ëRICA
CUTCSA,1536,D3,0,76,BARRA DEL SANTA LUC├ìA,23,CIUDAD VIEJA
CUTCSA,1031,155,1,22,CIUDADELA,55,PUNTA DE RIELES
CUTCSA,3061,104,0,44,RAMBLA COSTANERA,7,PLAZA INDEPENDENCIA
RAINCOOP,2864,21,1,7,PLAZA INDEPENDENCIA,16,PARQUE ROOSEVELT (POR MALV├ìN NORTE)
COME,2426,522,0,79,SAYAGO,24,POCITOS
CUTCSA,417,105,0,16,PARQUE ROOSEVELT,11,ADUANA
CUTCSA,771,133,0,40,PLAYA LA COLORADA,23,CIUDAD VIEJA
COETC,7332,L29,0,96,LA CARBONERA,67,PASO MOLINO
CUTCSA,2093,126,0,31,CASAB├ô,23,CIUDAD VIEJA
CUTCSA,3357,145,1,1,PLAZA ESPA├æA,46,COMPLEJO AM├ëRICA
COME,224,D11,0,16,PARQUE ROOSEVELT,23,CIUDAD VIEJA
RAINCOOP,7370,2,1,42,PORTONES,48,FAUQUET
CUTCSA,2993,180,1,1,PLAZA ESPA├æA,65,JAIME ROLD├ôS Y PONS Y LONDRES
CUTCSA,2791,62,0,24,POCITOS,23,CIUDAD VIEJA
CUTCSA,2178,140,1,23,CIUDAD VIEJA,42,PORTONES
CUTCSA,3406,148,0,50,AVIACI├ôN CIVIL,11,ADUANA
CUTCSA,3391,174,1,28,PUNTA CARRETAS,50,AVIACI├ôN CIVIL (POR SAINT BOIS)
CUTCSA,1575,L35,0,41,PUNTA ESPINILLO,37,PASO DE LA ARENA
CUTCSA,1522,64,0,12,PUENTE CARRASCO,7,PLAZA INDEPENDENCIA (POR AV ITALIA)
UCOT,1760,306,0,31,CASAB├ô,16,PARQUE ROOSEVELT
CUTCSA,796,137,1,11,ADUANA,37,PASO DE LA ARENA
UCOT,3123,306,1,190,CRIOLLA PARQUE ROOSEVELT,31,CASAB├ô
CUTCSA,2075,L17,0,177,DIQUE NACIONAL,32,TERMINAL DEL CERRO
CUTCSA,770,133,1,23,CIUDAD VIEJA,40,PLAYA LA COLORADA
CUTCSA,571,111,0,19,PLAYA MALV├ìN,7,PLAZA INDEPENDENCIA
CUTCSA,2922,103,0,14,CNO MALDONADO KM 21,23,CIUDAD VIEJA
